,num_words,timestamp,text
0,172,1581650733,test644:test531:1581650709:AUNT Coon ard aen grip gins GOD Hyde arm hans elke gens ants clip fen inn Bade blef Erik hay coom ance Dine Gas ane Golf ears Hain ANT git Aye BUT fro Amen DES clot ebb halt Ich Anie eye hing Alp Hyv braw flor eyne door else Colt Emmy Geld Iran Ebbo Jer Fen Alp gott hir Hank ance CORN hav jaar dumm flie Buck Dow Club GIVE anus dato Coal edad Jem den cadi eeuw ere cach Axe deaf byre Hank gler doot Fen gets awl EVE brim Gin Hadn Cook ant Davy edad Ihre ilex anna gat Date CCC Fin Dodo Dom Dyke Inc Cong heti Ants BEST helt dae essi heh fis dot amen Guru golf Elsa Flis dung basi Iuly deh bean Jen JAN erst Gram Bist gone Dies imp BODY Eric flip ben hiss Aus cxiu Bold HOT inns Gebt Ides fut Hans diff cima ensi erst crux hes DEUX bull Chap Jeff dona hadt goe ilon heur Fond FRAU iter Burn ale bec June
1,172,1581650732,test644:test531:1581650709:Cuts buts Harm avea hags exit bond Edge Aren Faro Eene fame gne eius Ist Cruz Hola Cord bob ALSO Car curs Beef Bad gie gem hall eget Case apr Bai Dazu Gard Bore heh Dons hedd bald alum atom akin CCC Aha Edg ewig haat Eddy hold ado eld cest gar bot Dia Bids Apis heft HART cue Ele ani gala Gene form hoes FORM fld Ast eam corn fen dut Aman Emil Door beam den ash doce awl het ghy fik eram Eat Hoc hoje diet Died born Hahn Ita Ivan cara Cake Ain flay Beg curd hou Bawn enl habt Fal amen insu hush Camb ecus Jars Cau fan Chin Ice Gon glow Dave face Inch Fam Dang Feld holt gray crop dans Fer dato izt herr Haco Jene dyes BEAR Eccl bien Ito Bowl Huns Bei DAY avis firs hvor Din Jane gods boni Ink bosh hier grab Elmo hohe fran Deen dain ASTA DAYS Halt ague bas Cary cork Away inom duke buik cso hies eggs June
2,172,1581650731,test644:test531:1581650709:And HOR BOAT Bund bono fina Bij bids Beth Bear habr elke ice dog huic gods DONE glib drip inen Hung Elis Boon Gad Bai Cham Amt gird bra Dopo chap BORN Deze into draw banc com duck Eva Dar Hvad Emir aveu alia cime fte Anna gown eux beam Cut Bird gute Fond AND Hill fuer cat ire Gave high Cher dana Faro defy faun herr Bids aube gray Came Buff beta bevy Amy Brot gehn hlt hti Donc Esa Hela boar Homo Dor eher DOWN BEEF Apis ais Hose goin Hen fuss fois dot enda else full bog Hah dour Dane Amme Bis Gre ego Hard Dum Gott hnyt DID IDA Demy Fin Bad Akt ban eend hee hon Carp eta isn DOG Isa Ils ein gaue got cork hur imps boon Bred Din Barr Gwen Joas hymn ist firm dray fled Clem Arts hath bent ells Boy Hout Hod hde dada idet asti Hadj Dark bulk Esp han Flee hout Dime haat Bona dist app Cora gum agr June
3,172,1581650730,test644:test531:1581650709:CHAS FOX boss drie date jefe hide fven bajo fit carp Dam jego Hap ipse IAEA days hips ass beak begg fein boek bur Bids Dago frid gaed hvar gien guv Haw IBC Graf hath duty ees Bien Bors daye Deva geh bees INC dos Bain Ana Bits doan asi Big ety dub ches chen Bien iss GATT HALE Amis fee balm Bays gibe Erle Buck didn hans duce bawl Cas EVEN HARD Ivy eigi Gino heah DONA gade eddy Cope him gav Butt hinc dope Chem AIDA Dowd DICK hunt Clam Deaf Elie Grew GER faon Bell Alli Dish gia dom Hour HOOD Gare bono aged cull Joe iles day CORN Beim how gaue Dod EAST eaux Hood Emp fod imp Bac Ani Era Boum gets fet demi Dons gums eten Cady Fram DONA Blue Dir gulp goal hes Enna Aye HAVE hire dijo eam dada bean Geom bleu ahi bis food Hall Aye Cobb dial Crag Eber cles Fort Boum hose hlen Fil Hic Gone hoy Dru Hung Eile June
4,766,1581650729,test644:test531:1581650709:fais Haye fais hemm Funk ANN Gath dis Fury dewy geht Goat Gin EACH Fund Haye fais Haye Dod Han Ally Fer algo hren Ems ane Anon Dir ena hadt Doch Cafe gild Boat Fram isol Gian ese Alte Cant gel from FRAN duas Fife esp fish Hari farm cinq gall BABY Feeb Cobb Ale Fido Alba fier FROM Hera godt Das hash ann ann Hale gant bind Ara Fast Feb huff FEW dirk Dodd cura Ames Ang gilt bain anim dyke glum balm hack Gian gick Amme gel coif feud feed gae boer Gov Boar Feng BnF From fee Fie fuer feux Fez Ahab balk Hast Biol Fur Bock hash Amir ague hanc Fido Coal gong cuyo ever erz gae Irma glue dite glut Dime Gebt Iss Amid HARD Anc goad glum Free fet gle gehn Ergo ange Diet agen iski aen Hara Fare fury Farm Disc EVER hat glue esim ALSO fiel FRED earl Ahab anda ale Dale Ange Cam ging dirt Fork dyed Gina Buys Frau eru Akin Ani Ful Era get earl Han figs Gang funk Gall frid Haig Andy GOD Bock Gems Girt firs Bey fixt Ease fief fus Fenn glue gebe fife ANT caer Gien ergo Fore Glas Doct fat aren fata Get hash fis GNP Anim Camp Farm ang Anon eso Fran Coat aha espy funk Hans Anc Bai glow Hank fuer Bock gest Coll Aias hunt gel dyin feux dabs gae gewi gong fume Fifi Fife Anon bags Amer ALVA Arab Gian arc dir Ara coax Free Dust Hal EAST Feng ands Farm Goa gae hash Glow IOC akin hart form BABY GINA Anie habt Foul hail Cure ance fum HARD Coat Hast GOD aine babe Fred Huon Aias HERE ale AXEL Ange cap anos Amme alto Fig Harz fief fens DUC ever fern Ages glum Alba cind agir Cake Agua fee Gila Amis Habt coat ages Glou Fenn helt fuir BABY And Esq faut Eric Age cog Akim iss Fenn Isn fuit halb firs Give docs feel Fur dier Alb COL HAIR cold AGE digo Han ferm hain Hari Haig Enos gers gles godt hues gaen Als fur Hekt hash Hal ague Dank hare Gods godt here GODS GINA feat Anc fru din fece Het anco ayre fief foxy Fred hais Farm Hand agir dits Ever also hat Free gape Into ague Hans gals came Anon cal gem Fifi feux ish Firm Dust gibt glad air dust Gems CAN anos fte Geht earl gang babe Aino cage fuse Gina Get Damn fat cans fuit Bach Faun dyes FRAN Espa Gien AND FROM CAME Gow hae Hail hans hace ital fatt dait FRU Fuel gick HUNT godt Blas free Dyce Gebt hden ague han gehn bly fuor frum Feeb Dum ance Dann fet goad akin Amt Doct East Fru Harp gles Cock Gall bleu gait anna Feeb funk fuhr coil fixe hue Ahab anew hard enow Amir hun Fran Fuel Fare buns FRED bald hash Erbe Faun daj GATT Feed Aino amis Fare caps Aias Dan Faun Calf Han Fawn ant GNU Fore hale Gael hanc Gebt anos fran enl hais hams Akin Boar Alda Glow aine amis alto Hoy give cama hat eres fuor Duc algo buzz Hail Cal fie dime And bald Anc ears Gian harm ann Gods fury cans Gabe came Ale dis gae dama Amer Funk FAR iron fork Fett ever Ergo Ahab ergo fish hers Aen dait Fenn Emmy Ganz Blew Geb froh Agua hap fixt Cant ange bode Fife gnat feux hui Gems feux gaen Cai fuir hull gel feud Dodo Bah God fens fig dye gles cogs feud Dime fam baie gaun hae hash ANT Amid Daca fece IRS Alf DWT FRU dye fiel Bobs Get eru glac fule GIVE ista Ever Het fis Glas Feb huru ano hand Fran Cade Gaud inky Alte also hams Blot Faun dank alte gia aid Fru gaen furs Goat BOAT gie glum fru ance Gall Enos farm HERO gee BACK gild Fuel Ganz blir fece Erbe aer goda gang hanc Ant ens gien fend Allt dust gong Glow fear Can Fran itch aint Ear ally dust Hast Hem alto ftp HAS Era Akin bake Hara Bain han avea Hast ande fet Amme Good espa aid Dina ful Cal Gebt dama HARD goal FEW Enna faun Diet Gang Dans akin bind gee Cap Doct gnaw gel hark FEW Dirk glut cake Gien bah aid balm Gale CAP Hal gnaw Arab bur Frau Due fold erit anos CITY fais Haye fais hen Gaud ford gick anno Ems hen Gina Fett fury gewu fais Haye Fair byte
5,172,1581650728,test644:test633:1581650709:dost ein ferm Head dus dyd glib fece cook aura Ajax hoof habr Jars Alla cle CLE Fal ese horn dope cre els GUY grip HYL Cox goal cil Fife BULL Goal Dorn Debt cone Czar Bits giv evil ado Ault ears Arch ajar Copy heim CAPE Eure bete Akin dies gut INTO Farm cow Inf etat Buys Dor Idee gran Fold ese goin edit fads doel JILL Cic Beni flue coon DUEL Dang duly BATH Hat ith Asa clin Dea fur cuir Cody Jas CAMP HERO Gray dopo cop iQue aven doge foll bees arcs Arts god hvis fid gift Arab EMMA Dort Cato dich god Elam Hon ELIS Hoe clos Gewi Dred EIN Dore bull fik DAME EST ANA gras bol GONE Eyre eere Gal Gude duds Gens Inst Hahn emit came Bray Duff GNP bay crue Ante Den Grad Eli eyed Ape dava App bail feux Brig Huns eram Agne FIG Inns ello boek Ara cape este Geog Isa Goes has fora frae ganz Bas bake begg help June
6,172,1581650727,test644:test633:1581650709:DUKE Holm dei eke adze Dada bum Hail hid eso ICAO Ides Gift caya Hopi beau can ang iust echt foam atto Huon ine Heed Dea avow FTP HIM CAPT Gram casi hang hti eggs Ibid curl Hurd doun cole Dei Jahr cada gem bort Dhu bals coma geht Flis Eck Dime Airs bee Ile een hawk Gem HELP Jean Ghek Crag diff ants deny Ally Alba apt Foy Edg FAIR Dag ESQ dey cire Clio che goo eyed CARL DON deil Diaz Boer boni Ivar grin emit Fate geht dish eins dada Big deer hig HIGH Bab dato BOOK guns esso Dank Cent Fish FRG fand extr GOOD Icke DOES fuga God Cows Fane flaw Hurt feel dado HIGH dopo ile cxe fens Dar Ele BENJ Eggs ikke dusk esl Brut ich haf bol alte guid Fuss east Dank hive digs dawn Eddy BIRD coal iban Dean Alto ikke alls Fill Fifi Dein aprs alf Anu iis IAGO Bin Dans Dore hrte BEAL Hel ano dyin EGGS dijo IDA code June
7,172,1581650726,test644:test633:1581650709:ghy Huge blik debo Cor Duck Alps job Edit Alan dak demi Dumb ipso inte Das HARD jaws Davy heap army dict goer Gaul hewn Colt Ana fops bush hem Gude boot duc ands grow fads gew Aina Arte Alle Hoy Bosh ande goad hubo Calf doet Geta Ants alto cosy goe caya boni Jews ala Dash EMMA Habe ball bol atop Idee fort gauw Ihre gav gia haze heed Foch fir bod Hist ages gaff Gens Cree ICC Agar Brod dors bod crag Aix Eval Debt Crow fox Frog alio Bath cote Hoch besa hill axis Ber Aen clip bast baza dome iras Grow Cady gaun Crew Carr ait fier CAME haft hems eves Isis fob cub ETC Hogg chen eyed gard Aron atop fib GOD Gem hent Cath alba Andy area Hvor Anty Dam born Coe Chin ears BIT Face Hop carp grew Bien hall cal cre Gros dah bend Dons giue Beau fain ibid fob Guds envy beat gage capa coup ART foh Fold haps ashy Iles bey June
8,172,1581650725,test644:test633:1581650709:draw ibis Fuss chic ili alan Fog Bids bord gust anco att Giue Ark fry eigi clog aut Dyce Duke haie Erkl goal ball Beef cans dort dina GODS Bora Arab BUT HART Elle Git Gawd APO als demi deci Cork besa int intr eche deci Frey fake hard EVIL cid Chut alms Heap belt felt City auml coom fel Assn Allt Bord Hear buff Het Clan ajan fob HTML elke gene dues Inez Badr ats heap days EST coal faro Blow fee dolt ido Elbe Amis Gama Chor hebt hans Dall Iune Bush Homo Barn allo Gan fail Bos capo hash hoed etre ilex Ich Fire Cum DES huff Arts Faro alls dits CODE guns COW Erse barn Bon baby dyer hoes Etre ama Bute boer cke Cove flap ast Body Bart hand Boy Ave Ali Jas Galt edel caro Anu glad hoss faut Cnut euer chew ckte hees http Edda Deja bank eri hout Erle ists Cath Habt Born Aye Ivo Dyer bals hti Edie cave Feng ALVA CAN June
9,768,1581650724,test644:test633:1581650709:fais Haye fais hemm Funk ANN Gath dis Fury dewy geht Goat Gin EACH Fund Haye fais Haye Dod Han Ally Fer algo hren Ems ane Anon Dir ena hadt Doch Cafe gild Boat Fram iris fama enow From Full Ames Dana FRAN duas EVEN bloc fiel espy Han bnf Gill dans goe Diu amis Cain APO Bobs gang glen ajaa FROM GIVE Here aha dic Farm Als fur Bobs fata Eat Fie Fifi Doct daca Allt god HAIR bind good Dar FATE coi hail fuit amie Hasn Ames axis goda hadt Gods blik anos Dang feux anim fuir fuga feat Dire Firm earn feu inte geld ant form Amme HAR col gap glow Aram ensi Alba Fawn ans frei ging Bal good helm fam Ball Fur Ant gaun ear aint bog hace blew hack Foul ale Easy Gow coi FORD Cold Alte furl farm Anim form God ful CODE Frau huid gout Herr algo hart Aias hump fis BnF Fuer cam ganz Hara Fran Ease Fig call Fru Feed halb anc aha anno gers And fam Fur Gaud dar Fore Daru Faun ead gran het HAIR fuir Gin herr halb ANN fet hadt alta ite Febr Hae farm hae gern iski Gras HAS Doct ipso fet Hale Funk glad gel fern Ang inte Geht anny get emme EVER glib Geta earn Akka harp Hae bail gilt Duma Alte Fere Ante fibs Has ear fare earl gie Erde Gila fort gaun EARL adze irre APO blot anim Fawn farm hat Amer Ani Aias Hume and CALL geht ISO Fur BAD anim Answ Funk Eric ano ere gee ange has Few Ares Boer feud Ghek han ISLE gaps Erde aer Ding anie duur Hae blef Anon Anie Gael Give Faun enow anno CAME ANT bain hace daie Ale Anie HARD axed ahi Cadi glum Help Fenn Fife Aias hadt From dir HAIR Fur Feb Ful Gang hues fee BOB Gaud cans anos erat godt her fend has gant bind gern colt agi cafe HAS Esau Dod bait gae bags Gov Fest geld buns aero Biol HAS figs funk anno Fork dana gram Isis Gang gode hast Dill Hast eate fur CLE ALSO dim fata Else fuer Biol Anie auta Anc fury Habt Hasn hand Bah form Erbe Ful Gift EVEN Coll ant Dang Fen anda Agua fuir Feeb boa Fran CODE gae eri fece isto gaed Dust Aram hues aid calm fece CLE ally Dana gait god Ahab hark Feb iQue Free gles FEW Eros Ever dyin hail Isab Funk Foul Fuer capa Gems Din Fran Hus Ever hast Ally errs Fare Ginn Amir ands fare dart glue hash hanc Caen fix balm Gow hde Akim ists fig Enna Free bags FRAN bloc anim fule hat Dirt form buns From HAIR fis Ants Fenn Anna docs dis Faun hulp Han ANNE and HAS Gebt cle Feeb Erle gade Fred glac eat fru Hart Fenn fuss Funk Gods feux from Gap Dum firs fat Aren Isle And Feed Ant BALL Aha Cade gie Hass gaps call aint dim Allt Fawn ant Goal Fore Goa Anon eare geht eare feux ano gem eri Geht cafe fece Bles Gina Camp gape iss fatt hens giva hadn fet duc gaed ANNA gick Glou aera isi fixe hemp Good gnaw ano East fore Ful ange bake goal CAPE Gale Fido haps Bind ance goad APO Bad faut erf gang EAST Algy goad Fig Harm aen dims gang blod Gaud Foss anon here Fran hull gade Back Gill haps Gov caps geld Fere Aqui cinq godt Ave ant hasn fed Baby Dodo avan Apis fuga Fenn Anne gli dic Aias hazy Firm Ball FEW feu FEAR Clem fama Fuss hain HER gem Into feux hame Han cake Alto glib Amid ance habt easy feux dame gehn auta Akka dyin get FRED fiel Das gras Due HARD bnf alls fel Funk Duma Gods bob gape cola form Fue Gin hela anie EMMA hard hero Area Anim ALSO furs Gin eri gems Cinq ance Feed han ghi Anc foul fens haps halb cake hac easy area dirk Faun das gib Cade Apia BABY has hens fus fru Funk Hale fus From AGE Dry gowd hate Anc goed has blef Fru hasn From HAR aren Goe Gang daft fur Hart Few Huge ames dusk Gian Enna gong hae Gaul Esau gap glut gee buzz Dodd Fru gest Eros ague heem fury Babu Algy boca GATT also Gina eras Fran auta ale Emmy fixt bait Gila heh docs hees gill ging Dock Haye fais Haye Funk hulp emu Dir gibe dirs fuor fie Fran anim fais Haye fais heav
